Semester,World region,Country,Administrative Division,Disease,Serotype/Subtype/Genotype,Animal Category,Species,Measuring units,New outbreaks,Susceptible,Cases,Killed and disposed of,Deaths,Latitude,Longitude,Year
Jul-Dec 2009,Americas,United States of America,Indiana,Influenza A virus (Inf. with),-,Domestic,Swine,Animal,1.0,3000.0,1.0,0.0,0.0,40.3270127,-86.1746933,2009.0
Jul-Dec 2009,Americas,United States of America,Virginia,Influenza A virus (Inf. with),-,Domestic,Birds,Animal,1.0,3270.0,1.2,0.0,0.0,37.1232245,-78.4927721,2009.0
Jul-Dec 2009,Asia,China,Beijing,Influenza A virus (Inf. with),-,Domestic,Dogs,Animal,1.0,52.0,2.0,0.0,0.0,40.190632,116.412144,2009.0
Jul-Dec 2009,Asia,China,Heilongjiang,Influenza A virus (Inf. with),-,Domestic,Swine,Animal,1.0,60.0,4.0,0.0,0.0,48.0000047,127.999992,2009.0
Jul-Dec 2009,Asia,Thailand,Saraburi,Influenza A virus (Inf. with),-,Domestic,Swine,Animal,1.0,680.0,34.0,0.0,0.0,14.6240563,100.8601022,2009.0
Jul-Dec 2009,Oceania,Australia,New South Wales,Influenza A virus (Inf. with),-,Domestic,Swine,Animal,1.0,1950.0,100.0,0.0,0.0,-31.8759835,147.2869493,2009.0
Jul-Dec 2016,Americas,United States of America,Montana,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N2,Wild,Mallard,Animal,1.0,56.6,1.6,46.6,22.2,47.3752671,-109.638757,2016.0
Jul-Dec 2016,Asia,China,Shanxi,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N8,Wild,Mute Swan,Animal,1.0,954.8,0.0,0.0,20.0,37.0,112.0,2016.0
Jan-Jun 2017,Africa,South Africa,Mpumalanga,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N8,Both animal categories,unknown,-,1.0,84.0,1.8,0.2,2.2,-26.276849,30.1500153,2017.0
Jan-Jun 2017,Africa,South Africa,Mpumalanga,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N8,Wild,Southern Masked-Weaver,Animal,3.0,187.8,2.0,0.0,2.0,-26.276849,30.1500153,2017.0
Jan-Jun 2017,Americas,United States of America,Montana,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N2,Wild,Mallard,Animal,1.2,56.6,141.4,1831.6,482.0,47.3752671,-109.638757,2017.0
Jan-Jun 2017,Asia,China,Hubei,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N8,Both animal categories,unknown,-,1.0,1666.2,1080.8,456.4,1084.8,31.15305035,112.88064226239663,2017.0
Jan-Jun 2017,Asia,China,Hubei,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N8,Wild,Black Swan,Animal,1.0,314.0,99.0,215.0,99.0,31.15305035,112.88064226239663,2017.0
Jan-Jun 2017,Asia,China,Hunan,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N6,Both animal categories,unknown,-,1.0,1666.2,1080.8,456.4,1085.8,27.6662087,111.7487063,2017.0
Jan-Jun 2017,Asia,China,Hunan,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N6,Wild,Greylag Goose,Animal,1.0,3121.0,1054.0,2067.0,1054.0,27.6662087,111.7487063,2017.0
Jan-Jun 2017,Europe,Poland,Dolnoslaskie,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),unknown,Both animal categories,unknown,-,20.0,4.8,29.0,0.0,29.0,50.9206028,16.4946351,2017.0
Jan-Jun 2017,Europe,Poland,Dolnoslaskie,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),unknown,Wild,Black-headed Gull,Animal,8.4,2.8,1.0,0.0,1.0,50.9206028,16.4946351,2017.0
Jan-Jun 2017,Europe,Poland,Dolnoslaskie,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),unknown,Wild,Great Cormorant,Animal,8.4,2.8,1.0,0.0,1.0,50.9206028,16.4946351,2017.0
Jan-Jun 2017,Europe,Poland,Dolnoslaskie,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),unknown,Wild,Mallard,Animal,8.4,2.8,1.0,0.0,1.0,50.9206028,16.4946351,2017.0
Jan-Jun 2017,Europe,Poland,Dolnoslaskie,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),unknown,Wild,Mute Swan,Animal,8.4,6.0,121.0,0.0,121.0,50.9206028,16.4946351,2017.0
Jan-Jun 2017,Europe,Poland,Kujawsko-Pomorskie,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),unknown,Both animal categories,unknown,-,8.0,12.2,4.4,0.0,4.4,53.3220016,18.3392939,2017.0
Jan-Jun 2017,Europe,Poland,Kujawsko-Pomorskie,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),unknown,Wild,Anatidae (unidentified),Animal,4.8,7.0,7.0,0.0,7.0,53.3220016,18.3392939,2017.0
Jan-Jun 2017,Europe,Poland,Kujawsko-Pomorskie,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),unknown,Wild,Mallard,Animal,4.8,4.2,3.0,0.0,3.0,53.3220016,18.3392939,2017.0
