Year,Semester,World region,Country,Administrative Division,Disease,Serotype/Subtype/Genotype,Animal Category,Species,Event_id,Outbreak_id,New outbreaks,Susceptible,Measuring units,Cases,Killed and disposed of,Slaughtered,Deaths,Vaccinated
2009,Jul-Dec 2009,Americas,United States of America,"Indiana","Influenza A virus (Inf. with)",-,Domestic,"Swine",753,12510,1,3000,Animal,-,0,0,0,-
2009,Jul-Dec 2009,Americas,United States of America,"Virginia","Influenza A virus (Inf. with)",-,Domestic,"Birds",773,12648,1,3270,Animal,-,0,0,0,-
2009,Jul-Dec 2009,Asia,China (People's Rep. of),"Beijing","Influenza A virus (Inf. with)",-,Domestic,"Dogs",765,12697,1,52,Animal,2,0,0,0,-
2009,Jul-Dec 2009,Asia,China (People's Rep. of),"Heilongjiang","Influenza A virus (Inf. with)",-,Domestic,"Swine",765,12696,1,60,Animal,4,0,0,0,-
2009,Jul-Dec 2009,Asia,Thailand,"Saraburi","Influenza A virus (Inf. with)",-,Domestic,"Swine",786,12715,1,680,Animal,34,0,0,0,-
2009,Jul-Dec 2009,Oceania,Australia,"New South Wales","Influenza A virus (Inf. with)",-,Domestic,"Swine",703,12268,1,1950,Animal,100,0,0,0,-
2016,Jul-Dec 2016,Americas,United States of America,"Montana","Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)","H5N2",Wild,"Mallard",2137,45728,1,-,Animal,-,-,-,-,-
2016,Jul-Dec 2016,Asia,China (People's Rep. of),"Shanxi","Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)","H5N8",Wild,"Mute Swan",2157,46823,1,-,Animal,0,0,0,20,-
2017,Jan-Jun 2017,Africa,South Africa,"Mpumalanga","Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)","H5N8",Both animal categories,"",-,-,1,-,-,-,-,-,-,-
2017,Jan-Jun 2017,Africa,South Africa,"Mpumalanga","Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)","H5N8",Wild,"Southern Masked-Weaver",-,-,-,-,Animal,2,0,0,2,-
2017,Jan-Jun 2017,Americas,United States of America,"Montana","Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)","H5N2",Wild,"Mallard",-,-,-,-,Animal,-,-,-,-,-
2017,Jan-Jun 2017,Asia,China (People's Rep. of),"Hubei","Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)","H5N8",Both animal categories,"",-,-,1,-,-,-,-,-,-,-
2017,Jan-Jun 2017,Asia,China (People's Rep. of),"Hubei","Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)","H5N8",Wild,"Black Swan",-,-,-,314,Animal,99,215,0,99,0
2017,Jan-Jun 2017,Asia,China (People's Rep. of),"Hunan","Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)","H5N6",Both animal categories,"",-,-,1,-,-,-,-,-,-,-
2017,Jan-Jun 2017,Asia,China (People's Rep. of),"Hunan","Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)","H5N6",Wild,"Greylag Goose",-,-,-,3121,Animal,1054,2067,0,1054,0
2017,Jan-Jun 2017,Europe,Poland,"Dolnoslaskie","Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)","",Both animal categories,"",-,-,20,-,-,-,-,-,-,-
2017,Jan-Jun 2017,Europe,Poland,"Dolnoslaskie","Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)","",Wild,"Black-headed Gull",-,-,-,-,Animal,1,0,0,1,-
2017,Jan-Jun 2017,Europe,Poland,"Dolnoslaskie","Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)","",Wild,"Great Cormorant",-,-,-,-,Animal,1,0,0,1,-
2017,Jan-Jun 2017,Europe,Poland,"Dolnoslaskie","Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)","",Wild,"Mallard",-,-,-,-,Animal,1,0,0,1,-
2017,Jan-Jun 2017,Europe,Poland,"Dolnoslaskie","Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)","",Wild,"Mute Swan",-,-,-,-,Animal,121,0,0,121,-
2017,Jan-Jun 2017,Europe,Poland,"Kujawsko-Pomorskie","Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)","",Both animal categories,"",-,-,8,-,-,-,-,-,-,-
2017,Jan-Jun 2017,Europe,Poland,"Kujawsko-Pomorskie","Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)","",Wild,"Anatidae (unidentified)",-,-,-,-,Animal,7,0,0,7,-
2017,Jan-Jun 2017,Europe,Poland,"Kujawsko-Pomorskie","Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)","",Wild,"Mallard",-,-,-,-,Animal,3,0,0,3,-
